City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Nouadhibou,20.931,-17.0347,20.62,66,0,8.51,MR,2023-04-01
1,Vaini,-21.2,-175.2,30.09,74,40,6.17,TO,2023-04-01
2,Talnakh,69.4865,88.3972,-5.44,95,100,7.44,RU,2023-04-01
3,Yueyang,29.3333,113.0919,22.39,58,46,3.3,CN,2023-04-01
4,Rikitea,-23.1203,-134.9692,26.89,80,26,7.1,PF,2023-04-01
5,Moranbah,-22.0016,148.0466,22.63,81,100,5.92,AU,2023-04-01
6,Saint-Philippe,-21.3585,55.7679,23.77,82,100,4.47,RE,2023-04-01
7,Qaanaaq,77.484,-69.3632,-25.13,64,8,2.97,GL,2023-04-01
8,Kapaa,22.0752,-159.319,22.18,94,75,4.63,US,2023-04-01
9,Punta Arenas,-53.15,-70.9167,7.84,61,20,4.12,CL,2023-04-01
10,Umm Lajj,25.0213,37.2685,20.57,44,0,4.95,SA,2023-04-01
11,Richards Bay,-28.783,32.0377,20.22,92,6,1.73,ZA,2023-04-01
12,Fortuna,40.5982,-124.1573,10.55,79,99,1.79,US,2023-04-01
13,Myre,69.1036,15.9492,-2.84,51,98,2.99,NO,2023-04-01
14,Harper,4.375,-7.7169,26.13,88,0,1.93,LR,2023-04-01
15,Avarua,-21.2078,-159.775,28.03,74,75,3.6,CK,2023-04-01
16,Ahipara,-35.1667,173.1667,21.62,66,100,1.96,NZ,2023-04-01
17,Narsaq,60.9167,-46.05,-2.88,74,60,4.27,GL,2023-04-01
18,Mataura,-46.1927,168.8643,13.04,97,100,1.5,NZ,2023-04-01
19,Alekseyevsk,57.8406,108.3492,-12.22,90,100,0.77,RU,2023-04-01
20,Cherskiy,68.75,161.3,-24.95,90,100,0.79,RU,2023-04-01
21,Victoria,22.2855,114.1577,23.02,92,99,3.58,HK,2023-04-01
22,Georgetown,5.4112,100.3354,28.96,87,20,1.54,MY,2023-04-01
23,Chokurdakh,70.6333,147.9167,-24.84,96,99,3.95,RU,2023-04-01
24,Mantua,45.1667,10.7833,12.97,84,97,2.24,IT,2023-04-01
25,Ayan,56.45,138.1667,-0.74,86,100,0.79,RU,2023-04-01
26,Hualmay,-11.0964,-77.6139,24.85,83,100,4.35,PE,2023-04-01
27,Torbay,47.6666,-52.7314,0.71,71,100,5.66,CA,2023-04-01
28,Deputatskiy,69.3,139.9,-23.03,88,13,1.71,RU,2023-04-01
29,Albany,42.6001,-73.9662,11.7,80,100,3.05,US,2023-04-01
30,Ribeira Grande,38.5167,-28.7,17.65,94,13,10.73,PT,2023-04-01
31,Dikson,73.5069,80.5464,-15.21,98,100,2.44,RU,2023-04-01
32,Nema,57.5067,50.5011,0.55,91,100,2.59,RU,2023-04-01
33,Ushuaia,-54.8,-68.3,6.81,70,20,7.2,AR,2023-04-01
34,Bengkulu,-3.8004,102.2655,24.6,81,96,1.54,ID,2023-04-01
35,Roma,43.2128,-75.4557,8.62,92,100,4.02,US,2023-04-01
36,Ust-Kuyga,70.0167,135.6,-23.39,97,95,4.76,RU,2023-04-01
37,Bonthe,7.5264,-12.505,25.77,91,1,2.34,SL,2023-04-01
38,Busselton,-33.65,115.3333,19.22,67,0,3.63,AU,2023-04-01
39,Broome,42.2506,-75.833,9.64,67,100,9.26,US,2023-04-01
40,Emporia,38.4039,-96.1817,14.11,21,40,1.54,US,2023-04-01
41,Zeya,53.75,127.2667,2.77,77,89,2.9,RU,2023-04-01
42,Aykhal,66.0,111.5,-12.57,83,100,12.49,RU,2023-04-01
43,Sydney,-33.8679,151.2073,19.24,88,94,2.24,AU,2023-04-01
44,Grindavik,63.8424,-22.4338,4.26,70,75,11.32,IS,2023-04-01
45,Tiznit,29.5833,-9.5,19.8,31,0,0.61,MA,2023-04-01
46,Yellowknife,62.456,-114.3525,-11.71,79,100,4.63,CA,2023-04-01
47,Hilo,19.7297,-155.09,26.85,70,20,4.63,US,2023-04-01
48,Mineral Wells,32.8085,-98.1128,19.25,38,0,2.06,US,2023-04-01
49,Saint George,37.1041,-113.5841,19.41,27,0,3.6,US,2023-04-01
50,Pompeia,-22.1086,-50.1717,22.2,75,0,1.22,BR,2023-04-01
51,Atuona,-9.8,-139.0333,27.2,73,1,6.61,PF,2023-04-01
52,Tuktoyaktuk,69.4541,-133.0374,-20.0,71,20,5.14,CA,2023-04-01
53,Grand Gaube,-20.0064,57.6608,25.22,78,12,0.89,MU,2023-04-01
54,Barrow,71.2906,-156.7887,-16.99,85,100,5.66,US,2023-04-01
55,Dauriya,49.9333,116.8667,3.11,59,98,4.16,RU,2023-04-01
56,Kendari,-3.945,122.4989,27.52,81,100,1.34,ID,2023-04-01
57,Taoudenni,22.6783,-3.9836,27.11,8,0,4.44,ML,2023-04-01
58,Coahuayana,18.7333,-103.6833,24.25,65,100,1.82,MX,2023-04-01
59,Port Keats,-14.25,129.55,30.65,63,99,2.26,AU,2023-04-01
60,Arraial Do Cabo,-22.9661,-42.0278,24.74,86,1,6.13,BR,2023-04-01
61,Balykshi,47.0667,51.8667,8.0,34,75,6.0,KZ,2023-04-01
62,Zambezi,-13.5432,23.1047,17.25,98,100,1.89,ZM,2023-04-01
63,Bethel,41.3712,-73.414,13.86,82,100,2.06,US,2023-04-01
64,Morro Bay,35.3658,-120.8499,20.49,72,6,3.13,US,2023-04-01
65,Lincoln,40.8,-96.667,12.15,37,0,3.6,US,2023-04-01
66,Guerrero Negro,27.9769,-114.0611,15.98,65,0,7.93,MX,2023-04-01
67,Port Alfred,-33.5906,26.891,18.43,92,15,0.45,ZA,2023-04-01
68,Hobart,-42.8794,147.3294,16.26,68,75,4.12,AU,2023-04-01
69,Severo-Kurilsk,50.6789,156.125,-0.06,88,84,7.44,RU,2023-04-01
70,Abu Zabad,12.35,29.25,20.9,11,93,4.93,SD,2023-04-01
71,Jamestown,42.097,-79.2353,2.77,100,100,10.8,US,2023-04-01
72,Port Elizabeth,-33.918,25.5701,17.4,98,0,2.06,ZA,2023-04-01
73,Chernaya Kholunitsa,58.8511,51.7154,-0.82,95,100,2.47,RU,2023-04-01
74,Doha,25.2867,51.5333,18.99,52,0,13.38,QA,2023-04-01
75,Saldanha,-33.0117,17.9442,16.31,91,0,3.98,ZA,2023-04-01
76,Caravelas,-17.7125,-39.2481,26.24,74,100,4.46,BR,2023-04-01
77,Fomboni,-12.28,43.7425,28.01,79,100,6.24,KM,2023-04-01
78,Nanortalik,60.1432,-45.2371,-3.84,84,99,2.6,GL,2023-04-01
79,Gamba,-2.65,10.0,23.73,90,100,2.2,GA,2023-04-01
80,Guanare,9.0418,-69.7421,32.01,51,100,1.03,VE,2023-04-01
81,Chernyshevskiy,63.0128,112.4714,-16.02,91,69,5.29,RU,2023-04-01
82,Maldonado,-34.6667,-54.9167,17.3,82,100,1.51,UY,2023-04-01
83,Honiara,-9.4333,159.95,29.44,72,99,1.47,SB,2023-04-01
84,Katsuura,35.1333,140.3,15.64,64,100,7.5,JP,2023-04-01
85,Sabzevar,36.2126,57.6819,7.99,61,0,1.57,IR,2023-04-01
86,Toamasina,-18.1667,49.3833,24.0,94,75,2.06,MG,2023-04-01
87,Ballina,-28.8667,153.5667,24.32,63,39,4.18,AU,2023-04-01
88,Iqaluit,63.7506,-68.5145,-17.15,71,20,1.54,CA,2023-04-01
89,Myitkyina,25.3833,97.4,19.39,89,96,0.6,MM,2023-04-01
90,Port Hawkesbury,45.6169,-61.3485,5.1,99,100,3.58,CA,2023-04-01
91,Krasnoselkup,65.7,82.4667,0.18,98,100,11.04,RU,2023-04-01
92,San Cristobal,7.7669,-72.225,19.1,95,100,1.1,VE,2023-04-01
93,Hermanus,-34.4187,19.2345,17.11,87,1,4.13,ZA,2023-04-01
94,Hithadhoo,-0.6,73.0833,27.57,74,100,3.01,MV,2023-04-01
95,Chuy,-33.6971,-53.4616,15.24,75,16,2.45,UY,2023-04-01
96,Norman Wells,65.282,-126.8329,-9.98,67,75,3.6,CA,2023-04-01
97,Cabo San Lucas,22.8909,-109.9124,29.17,32,100,5.14,MX,2023-04-01
98,Sinegorye,62.0788,150.477,-9.11,91,100,2.66,RU,2023-04-01
99,Balbalan,17.4414,121.2019,23.94,63,33,1.32,PH,2023-04-01
100,Colac,-38.3333,143.5833,15.09,47,17,0.65,AU,2023-04-01
101,Isangel,-19.55,169.2667,29.84,65,4,1.98,VU,2023-04-01
102,Bjerkvik,68.5597,17.5189,-10.18,87,55,2.52,NO,2023-04-01
103,Milkovo,54.7167,158.6167,3.23,65,3,0.48,RU,2023-04-01
104,Bredasdorp,-34.5322,20.0403,15.61,97,1,1.84,ZA,2023-04-01
105,Hovd,48.0056,91.6419,-14.17,52,100,2.79,MN,2023-04-01
106,Saint-Pierre,-21.3393,55.4781,23.82,78,0,3.09,RE,2023-04-01
107,Biltine,14.5333,20.9167,24.55,10,82,6.19,TD,2023-04-01
108,Saskylakh,71.9167,114.0833,-6.85,88,86,7.63,RU,2023-04-01
109,Kapoeta,4.7717,33.5903,25.05,60,55,2.14,SS,2023-04-01
110,Mustafabad,30.8922,73.4989,15.66,92,38,1.5,PK,2023-04-01
111,Touros,-5.1989,-35.4608,24.98,88,100,3.41,BR,2023-04-01
112,Arman,59.7,150.1667,-2.21,91,100,2.57,RU,2023-04-01
113,Kamiiso,41.8167,140.65,7.21,70,75,4.12,JP,2023-04-01
114,Mogapi,-22.323,27.8349,17.75,81,0,2.43,BW,2023-04-01
115,Saint-Ambroise,48.5501,-71.3324,-0.23,97,100,4.0,CA,2023-04-01
116,Champerico,14.3,-91.9167,28.61,67,99,2.9,GT,2023-04-01
117,Kaitangata,-46.2817,169.8464,12.74,73,97,4.37,NZ,2023-04-01
118,Khatanga,71.9667,102.5,-6.5,91,100,8.71,RU,2023-04-01
119,Khash,28.2211,61.2158,14.87,26,0,9.46,IR,2023-04-01
120,Sayhat,26.4852,50.0405,16.11,39,6,8.85,SA,2023-04-01
121,Shenavan,40.0549,43.9288,1.32,100,75,0.0,AM,2023-04-01
122,Roald,62.5833,6.1333,2.96,64,41,3.6,NO,2023-04-01
123,Luderitz,-26.6481,15.1594,16.18,88,64,3.38,NA,2023-04-01
124,Port Lincoln,-34.7333,135.8667,16.03,63,100,5.82,AU,2023-04-01
125,Maple Creek,49.9168,-109.4848,7.03,49,86,3.6,CA,2023-04-01
126,Flinders,-34.5833,150.8552,19.54,86,95,2.24,AU,2023-04-01
127,Yilan,24.757,121.753,22.79,88,100,1.15,TW,2023-04-01
128,Alofi,-19.0595,-169.9187,28.94,70,82,7.2,NU,2023-04-01
129,Mogok,22.9167,96.5,19.09,65,83,0.62,MM,2023-04-01
130,Bubaque,11.2833,-15.8333,25.29,75,0,5.34,GW,2023-04-01
131,Esperance,-33.8667,121.9,18.69,78,87,4.05,AU,2023-04-01
132,Tiksi,71.6872,128.8694,-14.8,80,100,12.34,RU,2023-04-01
133,Falavarjan,32.5553,51.5097,-1.44,28,2,2.49,IR,2023-04-01
134,Cidreira,-30.1811,-50.2056,19.31,72,26,4.72,BR,2023-04-01
135,Saint Anthony,45.0205,-93.218,1.88,67,0,2.06,US,2023-04-01
136,Morondava,-20.2833,44.2833,24.47,87,100,2.93,MG,2023-04-01
137,Naze,28.3667,129.4833,21.51,74,4,7.57,JP,2023-04-01
138,Port Hedland,-20.3167,118.5667,32.03,58,17,3.09,AU,2023-04-01
139,Pangody,65.85,74.4859,0.44,98,100,8.8,RU,2023-04-01
140,Zelenoborskiy,66.845,32.3622,-7.5,88,36,3.54,RU,2023-04-01
141,Dingle,10.9995,122.6711,27.85,75,100,2.95,PH,2023-04-01
142,Pangnirtung,66.1451,-65.7125,-18.68,77,93,4.05,CA,2023-04-01
143,Nichinan,31.6,131.3667,19.82,74,100,7.93,JP,2023-04-01
144,Airai,-8.9266,125.4092,21.02,70,100,1.03,TL,2023-04-01
145,Leningradskiy,69.3833,178.4167,-16.47,92,100,13.79,RU,2023-04-01
146,Bambous Virieux,-20.3428,57.7575,25.14,83,75,0.51,MU,2023-04-01
147,Ilulissat,69.2167,-51.1,-18.99,78,50,3.09,GL,2023-04-01
148,Novobirilyussy,56.9514,90.6661,-11.44,84,13,1.51,RU,2023-04-01
149,Tahta,26.7693,31.5021,15.69,36,0,3.24,EG,2023-04-01
150,Odweyne,9.4092,45.064,22.9,65,97,2.09,SO,2023-04-01
151,Okha,53.5739,142.9478,3.87,80,9,4.42,RU,2023-04-01
152,Derbent,42.0678,48.2899,6.63,81,100,2.9,RU,2023-04-01
153,Okhotsk,59.3833,143.3,-2.69,90,100,1.77,RU,2023-04-01
154,Upernavik,72.7868,-56.1549,-30.15,99,55,3.71,GL,2023-04-01
155,Itaituba,-4.2761,-55.9836,23.25,99,82,0.88,BR,2023-04-01
156,Fuerte Olimpo,-21.0415,-57.8738,25.59,68,0,2.31,PY,2023-04-01
157,Kaeo,-35.1,173.7833,22.96,86,100,2.72,NZ,2023-04-01
158,Baykit,61.67,96.37,-15.53,99,96,1.91,RU,2023-04-01
159,Garowe,8.4054,48.4845,25.31,68,56,3.72,SO,2023-04-01
160,Mocuba,-16.8392,36.9856,20.46,98,99,1.52,MZ,2023-04-01
161,Felanitx,39.4696,3.1483,12.2,87,97,4.59,ES,2023-04-01
162,Uirauna,-6.5183,-38.4122,23.85,64,100,1.11,BR,2023-04-01
